Country/Region,Province,Date,Type,Reference
US,Virginia,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Washington,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,West Virginia,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Wisconsin,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Wyoming,,None,
Uzbekistan,,3/20/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uzbekistan
Vatican City,,3/10/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vatican_City
Venezuela,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Venezuela
Vietnam,,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vietnam
West Bank and Gaza,,3/5/20,Full,
Zambia,,,None,
Zimbabwe,,3/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Zimbabwe
